sheet,element,KGa-1,NAu-1-fe,NAu-2-fe,NG-1,SWa-1,SWy-1,IMt-1,LDH31,IMt-2,SWy-1-simplified,SWy-123,SWy-1-simplified-feo,IMt-1,SAz-1
T,Si,3.83,6.98,7.55,7.08,7.09,7.98,6.77,,6.77,8,7.98,8,6.77,8
T,Al,0.17,0.95,0.16,0.92,0.91,0.02,1.23,,1.23,,0.02,,1.23,
T,Fe,,0.07,0.29,,,,,,,,,,,
O,Fe,,3.61,3.54,3.75,3.08,0.41,,,0.82,,,,,
O,Fe3,0.02,,,,,,0.76,,,,0.41,3,0.76,0.12
O,Fe2,,,,,,,0.06,,,,,,0.06,
O,Al,3.86,0.36,0.34,0.17,0.61,3.01,2.69,1,2.69,3,3.01,0,2.69,2.71
O,Mg,,0.04,0.05,0.08,0.24,0.54,0.43,3,0.43,1,0.54,1,0.43,1.11
O,Mn,,,,,,0.01,,,,,0.01,,,0.01
O,Ti,0.11,,,,0.07,,,,,,,,,0.03
I,Ca,0.01,0.525,0.36,0.32,0.36,0.12,0.06,,0.06,1,1,1,0.06,0.39
I,Na,0.01,,,0.01,,0.32,,,,,,1,,0.36
I,Mg,0.02,,,0.15,0.18,,0.09,,0.09,,,,0.09,
I,K,0.01,,,0.03,0.01,0.05,1.37,,1.37,,,,1.37,0.02
I,Cl,,,,,,,,1,,,,,,
C,T,-0.17,-1.02,-0.45,-0.92,-0.91,-0.02,-1.23,,-1.23,0,-0.02,0,-1.23,0
C,O,0.11,-0.03,-0.27,-0.08,-0.18,-0.53,-0.44,1,-0.44,-1,-0.53,-1,-0.44,-1.08
C,tot,-0.06,-1.05,-0.72,-0.99,-1.09,-0.55,-1.68,1,-1.68,-1,-0.55,-1,-1.68,-1.08
